matchup,status,rule_triggered,category,model_total,model_spread,independent_total,independent_spread,base_line,underdog_scaled_line,underdog,underdog_score,is_hit,details,proj_pace,score_away,score_home,win_prob,timestamp
NY vs CON,HIT,Rule 3 — Over Execution,OVER,161.0,5.0,161.18,-5.22,78.0,75.75,CON,80,True,Underdog CON OVER 75.75 | Actual: 80 | ✓ CLEARS,79.2,83.2,77.98,10.7,2026-08-02T12:07:45.299409
TOR vs CHI,HIT,Rule 3 — Over Execution,OVER,165.5,3.0,165.6,2.76,81.25,79.9,TOR,84,True,Underdog TOR OVER 79.90 | Actual: 84 | ✓ CLEARS,79.69999999999997,81.42,84.18,19.6,2026-08-02T12:07:45.299421
TOR vs LV,HIT,Rule 4 — Under Execution,UNDER,174.0,15.0,173.95,14.93,79.5,85.5,TOR,76,True,Underdog TOR UNDER 85.50 | Actual: 76 | ✓ STAYS BELOW,81.49999999999999,79.51,94.44,0.5,2026-08-02T12:07:45.299430
CHI vs GS,HIT,Rule 4 — Under Execution,UNDER,166.0,9.5,165.91,9.57,78.25,82.05,CHI,73,True,Underdog CHI UNDER 82.05 | Actual: 73 | ✓ STAYS BELOW,79.10000000000001,78.17,87.74,2.8,2026-08-02T12:07:45.299439
IND vs LV,MISS,Rule 4 — Under Execution,UNDER,179.5,7.5,179.46,7.46,86.0,89.0,IND,95,False,Underdog IND UNDER 89.00 | Actual: 95 | ✗ EXCEEDS,82.69999999999997,86.0,93.46,5.5,2026-08-02T12:07:45.299448
NY vs SEA,MISS,Rule 3 — Over Execution,OVER,169.0,3.5,169.12,-3.34,82.75,81.17,SEA,63,False,Underdog SEA OVER 81.17 | Actual: 63 | ✗ FAILS,80.2,86.23,82.89,17.2,2026-08-02T12:07:45.299457
TOR vs CON,HIT,Rule 3 — Over Execution,OVER,157.0,7.5,157.25,7.34,74.75,71.38,TOR,75,True,Underdog TOR OVER 71.38 | Actual: 75 | ✓ CLEARS,78.39999999999999,74.95,82.29,5.7,2026-08-02T12:07:45.299466
WSH vs IND,HIT,Rule 3 — Over Execution,OVER,170.5,10.0,170.65,9.99,80.25,75.75,WSH,86,True,Underdog WSH OVER 75.75 | Actual: 86 | ✓ CLEARS,81.19999999999997,80.33,90.32,2.4,2026-08-02T12:07:45.299475
GS vs WSH,HIT,Rule 3 — Over Execution,OVER,165.0,5.0,165.19,-4.79,80.0,77.75,WSH,92,True,Underdog WSH OVER 77.75 | Actual: 92 | ✓ CLEARS,79.39999999999999,84.99,80.2,12.0,2026-08-02T12:07:45.299483
IND vs TOR,MISS,Rule 3 — Over Execution,OVER,170.5,5.0,170.65,-4.99,82.75,80.5,TOR,79,False,Underdog TOR OVER 80.50 | Actual: 79 | ✗ FAILS,81.19999999999997,87.82,82.83,11.4,2026-08-02T12:07:45.299492
LV vs POR,HIT,Rule 3 — Over Execution,OVER,180.0,15.5,180.08,-15.68,82.25,75.28,POR,88,True,Underdog POR OVER 75.28 | Actual: 88 | ✓ CLEARS,83.69999999999997,97.88,82.2,0.3,2026-08-02T12:07:45.299501
NY vs SEA,MISS,Rule 3 — Over Execution,OVER,169.0,3.5,169.12,-3.34,82.75,81.17,SEA,79,False,Underdog SEA OVER 81.17 | Actual: 79 | ✗ FAILS,80.2,86.23,82.89,17.2,2026-08-02T12:07:45.299512
